epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,3163.08,0.14792,2.05303,0.4197,0.98265,0.99321,0.99292,0.76521,0.14396,1.71584,0.42464,0.000130287,0.000130287,0.000130287
118,3190.6,0.14782,2.03833,0.42402,0.98518,0.99185,0.99294,0.76228,0.14418,1.71104,0.42521,0.000123596,0.000123596,0.000123596
119,3238.11,0.14315,1.95966,0.40923,0.98512,0.99064,0.9928,0.7694,0.14247,1.72054,0.42219,0.000117072,0.000117072,0.000117072
120,3264.9,0.14582,2.0389,0.41978,0.98369,0.99249,0.993,0.77051,0.14134,1.71208,0.41972,0.000110718,0.000110718,0.000110718
121,3292.37,0.14451,2.01809,0.41873,0.98799,0.99234,0.99262,0.76426,0.14327,1.74189,0.42248,0.000104537,0.000104537,0.000104537
122,3319.17,0.14526,2.04844,0.41788,0.98629,0.99147,0.99241,0.7665,0.14219,1.72798,0.42148,9.85311e-05,9.85311e-05,9.85311e-05
123,3346.28,0.14782,2.0402,0.41623,0.98414,0.99185,0.99261,0.76417,0.1419,1.72644,0.42074,9.2704e-05,9.2704e-05,9.2704e-05
124,3373.15,0.14287,1.95656,0.41081,0.98097,0.9888,0.99027,0.75738,0.14439,1.72751,0.42559,8.70577e-05,8.70577e-05,8.70577e-05
125,3401,0.14643,2.03054,0.42101,0.98426,0.99095,0.9927,0.76393,0.14205,1.7233,0.42193,8.15947e-05,8.15947e-05,8.15947e-05
126,3428.35,0.14522,2.04626,0.421,0.98315,0.99271,0.99291,0.7578,0.14456,1.72465,0.42561,7.63174e-05,7.63174e-05,7.63174e-05
127,3455.84,0.14556,2.02935,0.41811,0.97988,0.9891,0.9903,0.75976,0.14344,1.70764,0.42391,7.12282e-05,7.12282e-05,7.12282e-05
128,3483.65,0.14816,2.0577,0.42597,0.98448,0.9922,0.99281,0.77014,0.14099,1.71857,0.42035,6.63292e-05,6.63292e-05,6.63292e-05
129,3511.03,0.14466,2.03621,0.41646,0.98587,0.99209,0.99289,0.77094,0.14191,1.70675,0.42144,6.16227e-05,6.16227e-05,6.16227e-05
130,3538.68,0.14466,1.98261,0.42062,0.98545,0.99265,0.99283,0.7694,0.14161,1.69834,0.4206,5.71106e-05,5.71106e-05,5.71106e-05
131,3565.85,0.14266,2.01294,0.41482,0.98458,0.99297,0.99279,0.76863,0.14199,1.69918,0.42083,5.2795e-05,5.2795e-05,5.2795e-05
132,3592.97,0.14382,1.99745,0.41489,0.98352,0.98958,0.99272,0.76867,0.14213,1.70285,0.42111,4.86777e-05,4.86777e-05,4.86777e-05
133,3620.32,0.14245,1.96764,0.414,0.98475,0.98925,0.99274,0.77094,0.14182,1.70878,0.42056,4.47606e-05,4.47606e-05,4.47606e-05
134,3648.15,0.14558,2.01486,0.41506,0.98458,0.99093,0.9928,0.76284,0.14234,1.73179,0.42179,4.10454e-05,4.10454e-05,4.10454e-05
135,3675.42,0.14488,1.9792,0.41697,0.98405,0.9927,0.99295,0.76431,0.14225,1.71562,0.4216,3.75337e-05,3.75337e-05,3.75337e-05
136,3703.84,0.14481,1.96489,0.41699,0.98442,0.99293,0.99288,0.7677,0.14209,1.70256,0.42105,3.4227e-05,3.4227e-05,3.4227e-05
137,3730.95,0.14463,1.98289,0.41665,0.9851,0.9926,0.99291,0.76922,0.1412,1.68822,0.41964,3.11268e-05,3.11268e-05,3.11268e-05
138,3757.83,0.14314,1.96649,0.41367,0.98516,0.99226,0.99292,0.76649,0.14148,1.68298,0.41987,2.82345e-05,2.82345e-05,2.82345e-05
139,3785.31,0.14406,1.99344,0.41394,0.98491,0.99184,0.99281,0.76603,0.14219,1.69552,0.42159,2.55513e-05,2.55513e-05,2.55513e-05
140,3813.44,0.14468,2.02918,0.41881,0.98462,0.99232,0.99281,0.76392,0.14243,1.70087,0.42193,2.30784e-05,2.30784e-05,2.30784e-05
141,3865.99,0.13879,1.7518,0.41671,0.98266,0.99225,0.99247,0.75587,0.14334,1.7481,0.42452,2.08169e-05,2.08169e-05,2.08169e-05
142,3890.18,0.138,1.74565,0.41648,0.98404,0.99244,0.99249,0.74651,0.14452,1.76955,0.42664,1.87678e-05,1.87678e-05,1.87678e-05
143,3915.85,0.13865,1.75465,0.42019,0.9841,0.99246,0.99238,0.7545,0.1439,1.76702,0.42533,1.6932e-05,1.6932e-05,1.6932e-05
144,3941.53,0.13804,1.73758,0.41649,0.98367,0.99242,0.9925,0.76066,0.14303,1.76012,0.42401,1.53102e-05,1.53102e-05,1.53102e-05
145,3967.38,0.13733,1.73252,0.41521,0.98384,0.99246,0.99253,0.76096,0.14275,1.75149,0.42353,1.39032e-05,1.39032e-05,1.39032e-05
146,3993.3,0.13743,1.73085,0.41464,0.98453,0.99235,0.99244,0.75798,0.14306,1.75997,0.42386,1.27117e-05,1.27117e-05,1.27117e-05
147,4019.39,0.13792,1.72997,0.41995,0.98425,0.99237,0.9925,0.75961,0.143,1.74782,0.42325,1.1736e-05,1.1736e-05,1.1736e-05
148,4045.42,0.13685,1.71299,0.41457,0.98386,0.99236,0.99255,0.76086,0.14318,1.74685,0.42353,1.09768e-05,1.09768e-05,1.09768e-05
149,4071.44,0.13849,1.73087,0.42223,0.98429,0.99232,0.99259,0.75984,0.14328,1.73617,0.42365,1.04342e-05,1.04342e-05,1.04342e-05
150,4097.38,0.13726,1.71241,0.41368,0.98456,0.9922,0.99255,0.75989,0.14324,1.74178,0.4237,1.01086e-05,1.01086e-05,1.01086e-05
